Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
1.013,Senior Civil and Environmental Engineering Design,",Students engage with faculty around a topic of mutual interest, building on the knowledge/skills gained throughout their program. Synthesizes prior coursework and experiences through a semester-long design project and related assignments. Students form teams and work on projects advised by faculty representatives from each core in the 1-ENG curriculum. Teams demonstrate creativity in applying theories and methodologies while considering their project's technical, environmental and social feasibility. Includes lectures on a variety of related engineering concepts, as well as scholarship and engineering practice and ethics. Provides instruction and practice in oral and written communication.Fall:Spring:No required or recommended textbooks",Undergraduate,Spring,,,1-3-2,"B. Marelli, O. Cordero","T2-4, 1-134",TBA,,,,
1.015[J],Design of Electromechanical Robotic Systems,"Same subject as2.017[J]Design, construction, and testing of field robotic systems, through team projects with each student responsible for a specific subsystem. Projects focus on electronics, instrumentation, and machine elements. Design for operation in uncertain conditions is a focus point, with ocean waves and marine structures as a central theme. Basic statistics, linear systems, Fourier transforms, random processes, spectra and extreme events with applications in design. Lectures on ethics in engineering practice included. Instruction and practice in oral and written communication provided. Satisfies 6 units of Institute Laboratory credit. Enrollment may be limited due to laboratory capacity.",Undergraduate,Spring,,2.003  2.016  2.678  ,3-3-6,"M. Triantafyllou, T. Consi",,,,True,2.671,
1.016[J],Design for Complex Environmental Issues,"Same subject as2.00C[J],EC.746[J]Working in small teams with real clients, students develop solutions related to the year's Terrascope topic. They have significant autonomy as they follow a full engineering design cycle from client profile through increasingly sophisticated prototypes to final product. Provides opportunities to acquire skills with power tools, workshop practice, design, product testing, and teamwork. Focuses on sustainability and appropriate technology that matches the client's specific situation and constraints. Products are exhibited in the public Bazaar of Ideas and evaluated by an expert panel. Class taught in collaboration with D-Lab and Beaver Works. Limited to first-year students. Open to students outside of Terrascope.",Undergraduate,Spring,,,3-1-5,"A. W. Epstein, S. L. Hsu, J. Grimm",,,,,,
1.018[J],Fundamentals of Ecology,"Same subject as7.30[J],12.031[J]orF248-316+finalsFundamentals of ecology, considering Earth as an integrated dynamic living system. Coevolution of the biosphere and geosphere, biogeochemical cycles, metabolic diversity, primary productivity, competition and the niche, trophic dynamics and food webs, population growth and limiting factors. Population modeling, global carbon cycle, climate change, geoengineering, theories of resource competition and mutualism, allometric scaling, ecological genomics, niche theory, human population growth. Applied ecology.No required or recommended textbooks",Undergraduate,Fall,True,,4-0-8,"O. Cordero, D. McRose, C. Terrer","MW11-12.30, 48-316",,"M1, 48-316",,,
1.020,Modeling and Decision-Making for Sustainability,"Introduces a systems approach to modeling, analysis, and design of sustainable systems. Covers principles of dynamical systems, network models, optimization, and control, with applications in ecosystems, infrastructure networks, and energy systems. Includes a significant programming component. Students implement and analyze numerical models of systems, and make design decisions to balance physical, environmental, and economic considerations based on real and simulated data.",Undergraduate,Spring,,Physics I (GIR)  18.03  1.00  1.000  ,3-2-7,S. Amin,,,,,,
1.021,Introduction to Modeling and Simulation,"Engineering School-Wide Elective Subject.Offered under:1.021,3.021,10.333,22.00Basic concepts of computer modeling and simulation in science and engineering. Uses techniques and software for simulation, data analysis and visualization. Continuum, mesoscale, atomistic and quantum methods used to study fundamental and applied problems in physics, chemistry, materials science, mechanics, engineering, and biology. Examples drawn from the disciplines above are used to understand or characterize complex structures and materials, and complement experimental observations.",Undergraduate,Spring,True,18.03 or permission of instructor ,4-0-8,"M. Buehler, A. Hoffman",,,,,,
1.022,Introduction to Network Models,"Subject CancelledsProvides an introduction to complex networks, their structure, and function, with examples from engineering, applied mathematics and social sciences. Topics include spectral graph theory, notions of centrality, random graph models, contagion phenomena, cascades and diffusion, and opinion dynamics.Staff",Undergraduate,Spring,,1.010  18.03  1.00  1.000 )) or permission of instructor ,4-0-8,,,,,,,
1.032,Advanced Soil Mechanics,"; first half of termEnds Oct 18.sCovers topics in the characterization and nature of soils as multi-phase materials; the principle of effective stress; hydraulic conductivity and groundwater seepage; shear strength and stability analyses; stress-deformation properties, consolidation theory and calculation of settlements for clays and sands. Students taking graduate version complete additional assignments.No required or recommended textbooks",Undergraduate,Fall,,1.037 ,3-0-6,A. Whittle,"MWF10.30-12, 1-379",,,,,
1.034[J],Materials in Human Experience,"Same subject as3.094[J]Examines how people throughout history have selected, evaluated, processed, and utilized natural materials to create objects of material culture. Explores ideological and aesthetic criteria influential in materials development. As examples of ancient engineering and materials processing, topics may include ancient Roman concrete and prehistoric iron and steel production by the Mossi, Haya, and other African cultures. Particular attention paid to the climate issues surrounding iron and cement, and how the examination of ancient technologies can inform our understanding of sustainability in the present and illuminate paths for the future. Previous topics have included Maya use of lime plaster for frescoes, books, and architectural sculpture; the sound, color, and power of metals in Mesoamerica; and metal, cloth, and fiber technologies in the Inca empire. Laboratory sessions provide practical experience with materials discussed in class. Enrollment limited to 24.",Undergraduate,Spring,,,2-3-4,"M. Tarkanian, A. Masic, J. Hunter",,,,,,
1.035,Mechanics of Materials,"Covers the structure and properties of natural and manufactured engineering materials with an emphasis on the fundamentals of mechanical behavior of materials, while considering their use in civil and environmental engineering design. Topics include linear elasticity, plasticity, viscoelasticity, fracture, and fatigue. Laboratory experiments present principles of experimental characterization techniques, materials selection, and design.",Undergraduate,Spring,,1.050 or permission of instructor ,3-2-7,T. Cohen,,,,,,
1.036,Structural Mechanics and Design,"sFamiliarizes students with structural systems, loads, and basis for structural design, including analysis of determinate and indeterminate structures trusses, beams, frames, cables, and arches. Covers mechanical properties of construction materials, including concrete, steel, and composites. Studies concrete and steel structures through application of principles of structural mechanics. Evaluates behavior and design of reinforced concrete structural elements using limit strength design and serviceability principles. Introduces plastic analysis and design, and load factor design of structural steel members and connections. Team project emphasizes material covered through behavior and problem-based learning.Textbooks Fall 2024",Undergraduate,Fall,,1.050 ,3-1-8,O. Buyukozturk,"MW1-2.30, 1-246",,"F1, 1-277",,,
1.037,Soil Mechanics and Geotechnical Design,"Provides an introduction to soils as engineering materials, including classification and characterization, pore pressures and seepage, principles of effective stress and consolidation, deformation, and shear strength properties. Surveys analysis methods, with a focus on slope stability, limiting earth pressures and bearing capacity, and settlements of foundations. Examines applications in the design of earth dams, earth retaining systems, foundations, and staged construction processes.",Undergraduate,Spring,,,3-2-7,A. Whittle,,,,,,
1.041[J],Transportation: Foundations and Methods,"Same subject asIDS.075[J],11.544[J],IDS.675[J]Covers core analytical and numerical methods for modeling, planning, operations, and control of transportation systems. Traffic flow theory, vehicle dynamics and behavior, numerical integration and simulation, graphical analysis. Properties of delays, queueing theory. Resource allocation, optimization models, linear and integer programming. Autonomy in transport, Markov Decision Processes, reinforcement learning, deep learning. Applications drawn broadly from land, air, and sea transport; private and public sector; transport of passengers and goods; futuristic, modern, and historical. Hands-on computational labs. Linear algebra background is encouraged but not required. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,1.010  1.00  1.000 )) or permission of instructor ,3-1-8,C. Wu,,,,,,
1.050,Solid Mechanics,"+finalsIntroduction to statics and the principles of mechanics to describe the behavior of structures. Topics include free body diagrams, static equilibrium, force analysis of slender members, concept of stress and strain, linear elasticity, principal stresses and strains, Mohr's circle, and failure modes. Application to engineering structures such as bars, beams, frames, and trusses.Textbooks Fall 2024",Undergraduate,Fall,True,Physics I (GIR)  ,3-2-7,J. Carstensen,"MWF11, 5-233","M3-5, 5-233",,,Calculus II (GIR),
1.052,Advancing Mechanics and Materials via Machine Learning,",2.174[J]Concepts in mechanics solid mechanics: continuum, micro, meso and molecular mechanics; elasticity, plasticity, fracture and buckling and machine learning stochastic optimization, neural networks, convolutional neural nets, adversarial neural nets, graph neural nets, recurrent neural networks and long/short-term memory nets, attention models, variational/autoencoders introduced and applied to mechanics problems. Covers numerical methods, data and image processing, dataset generation, curation and collection, and experimental validation using additive manufacturing. Modules cover: foundations, fracture mechanics and size effects, molecular mechanics and applications to biomaterials proteins, forward and inverse problems, mechanics of architected materials, and time dependent mechanical phenomena. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,Calculus II (GIR)  Physics II (GIR)  1.000  6.100A  6.100L  16.C20  ,3-0-9,M. Buehler,,,,,,
1.053[J],Dynamics and Control I,",Same subject as2.003[J]orR13-442orR23-442orF105-217orF115-217orF125-217+finalsIntroduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Kinematics. Force-momentum formulation for systems of particles and rigid bodies in planar motion. Work-energy concepts.  Virtual displacements and virtual work. Lagrange's equations for systems of particles and rigid bodies in planar motion. Linearization of equations of motion. Linear stability analysis of mechanical systems. Free and forced vibration of linear multi-degree of freedom models of mechanical systems; matrix eigenvalue problems.Fall:Spring:Textbooks Fall 2024",Undergraduate,Spring,True,Physics II (GIR)  ,4-1-7,T. Peacock,"TR9-10.30, 10-250",,"R12, 1-371",,"2.087, 18.03",
1.054,Mechanics and Design of Concrete Structures,"Studies strength and deformation of concrete under various states of stress; failure criteria; concrete plasticity; and fracture mechanics concepts. Topics include fundamental behavior of reinforced concrete structural systems and their members; basis for design and code constraints; high-performance concrete materials and their use in innovative design solutions; and yield line theory for slabs. Uses behavior models and nonlinear analysis. Covers complex systems, including bridge structures, concrete shells, and containments. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,1.036 or permission of instructor ,3-0-9,O. Buyukozturk,,,,,,
1.056[J],Introduction to Structural Design,"Same subject as4.440[J]Introduces the design and behavior of large-scale structures and structural materials. Emphasizes the development of structural form and the principles of structural design. Presents design methods for timber, masonry, concrete and steel applied to long-span roof systems, bridges, and high-rise buildings. Includes environmental assessment of structural systems and materials. In laboratory sessions, students solve structural problems by building and testing simple models. Graduate and undergraduate students have separate lab sections.Staff",Undergraduate,Spring,True,Calculus II (GIR) ,3-3-6,,,,,,,
1.057,Heritage Science and Technology,"Interdisciplinary, applied introduction to ancient materials and technology. Students explore materials sustainability and durability from multiple perspectives, using ancient societies, architecture and building materials as time-proven examples of innovation in construction. Involves discussions of peer-reviewed literature and cultural heritage, project formulation, data collection, and data analysis. Culminates in presentation of research projects, and write-ups of the research in manuscript form.",Undergraduate,Fall,,,2-3-4,A. Masic,,,,,,
1.058,Structural Dynamics,",2.060[J],16.221[J]sExamines response of structures to dynamic excitation: free vibration, harmonic loads, pulses and earthquakes. Covers systems of single- and multiple-degree-of-freedom, up to the continuum limit, by exact and approximate methods. Includes applications to buildings, ships, aircraft and offshore structures. Students taking graduate version complete additional assignments.No required or recommended textbooks",Undergraduate,Fall,,18.03 or permission of instructor ,3-0-9,H. Borja da Rocha,"MW9.30-11, 1-371",,,,,
1.060,Fluid Mechanics,"Credit cannot also be received for1.060AMechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Drag and lift forces. Analysis of pipe systems, pumps and turbines. Gradually varied flow in open channels, significance of the Froude number, backwater curves and kinematic waves. Application of principles through open-ended studio exercises. Meets with 1.060A first half of term.Fall:Spring:Textbooks Fall 2024",Undergraduate,Spring,,,4-2-6,B. Marelli,,,,,,
1.060A,Fluid Mechanics I,"; first half of termCredit cannot also be received for1.060Mechanics principles for incompressible fluids. Review of hydrostatics. Conservation of mass, momentum and energy in fluid mechanics. Flow nets, velocity distributions in laminar and turbulent flows, groundwater flows. Momentum and energy principles in hydraulics, with emphasis on open channel flow and hydraulic structures. Meets with 1.060 in first half of term.",Undergraduate,Spring,,18.03 ; or permission of instructor ,2-1-3,B. Marelli,,,,,,
1.061,Transport Processes in the Environment,"Credit cannot also be received for1.061ASubject CancelledsIntroduction to mass transport in environmental flows, with emphasis on river and lake systems. Covers derivation and solutions to the differential form of mass conservation equations, hydraulic models for environmental systems, residence time distribution, molecular and turbulent diffusion for continuous and point sources, boundary layers, dissolution, bed-water exchange, air-water exchange, and particle transport. Meets with 1.061A first half of term. Students taking graduate version complete additional assignments.",Undergraduate,Fall,,1.060 ,3-1-8,H. M. Nepf,,,,,,
1.061A,Transport Processes in the Environment I,"; first half of termCredit cannot also be received for1.061,1.61Subject CancelledsIntroduction to mass transport in environmental flows. Covers derivation and solution to the differential form of mass conservation, hydraulic models for environmental systems, residence time distribution, and molecular and turbulent diffusion for continuous and point sources. Meets with 1.061 first half of term.",Undergraduate,Fall,,1.060A ,2-1-3,H. Nepf,,,,,,
1.062[J],Nonlinear Dynamics: Continuum Systems,"Same subject as12.207[J],18.354[J]General mathematical principles of continuum systems. From microscopic to macroscopic descriptions in the form of linear or nonlinear partial differential equations. Exact solutions, dimensional analysis, calculus of variations and singular perturbation methods. Stability, waves and pattern formation in continuum systems. Subject matter illustrated using natural fluid and solid systems found, for example, in geophysics and biology.Staff",Undergraduate,Spring,,Physics II (GIR)  18.03  18.032  ,3-0-9,,,,,,,
1.063,Fluids and Diseases,",2.250[J],HST.537[J]Designed for students in engineering and the quantitative sciences who want to explore applications of mathematics, physics and fluid dynamics to infectious diseases and health; and for students in epidemiology, environmental health, ecology, medicine, and systems modeling seeking to understand physical and spatial modeling, and the role of fluid dynamics and physical constraints on infectious diseases and pathologies. The first part of the class reviews modeling in epidemiology and data collection, and highlights concepts of spatial modeling and heterogeneity. The remainder highlights multi-scale dynamics, the role of fluids and fluid dynamics in physiology, and pathology in a range of infectious diseases. The laboratory portion entails activities aimed at integrating applied learning with theoretical concepts discussed in lectures and covered in problem sets. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,18.03 or permission of instructor ,3-3-6,L. Bourouiba,,,,,,
1.066[J],Fluid Physics,"Same subject as8.292[J],12.330[J]A physics-based introduction to the properties of fluids and fluid systems, with examples drawn from a broad range of sciences, including atmospheric physics and astrophysics. Definitions of fluids and the notion of continuum. Equations of state and continuity, hydrostatics and conservation of momentum; ideal fluids and Euler's equation; viscosity and the Navier-Stokes equation. Energy considerations, fluid thermodynamics, and isentropic flow. Compressible versus incompressible and rotational versus irrotational flow; Bernoulli's theorem; steady flow, streamlines and potential flow. Circulation and vorticity. Kelvin's theorem. Boundary layers. Fluid waves and instabilities. Quantum fluids.",Undergraduate,Spring,,"5.60  8.044 , or permission of instructor ",3-0-9,L. Bourouiba,,,,,,
1.067[J],Energy Systems for Climate Change Mitigation,"Same subject as10.421[J],IDS.065[J],10.621[J],IDS.521[J]sReviews the contributions of energy systems to global greenhouse gas emissions, and the levers for reducing those emissions. Lectures and projects focus on evaluating energy systems against climate policy goals, using performance metrics such as cost, carbon intensity, and others. Student projects explore pathways for realizing emissions reduction scenarios. Projects address the climate change mitigation potential of energy technologies hardware and software, technological and behavioral change trajectories, and technology and policy portfolios. Background in energy systems strongly recommended. Students taking the graduate version complete additional assignments and explore the subject in greater depth. Preference to students in the Energy Studies or Environment and Sustainability minors.No required or recommended textbooks",Undergraduate,Fall,,Calculus I (GIR)  Chemistry (GIR)  Physics I (GIR) ) or permission of instructor ,3-0-9,J. Trancik,"TR11-12.30, 32-155",,,,,
1.068,Nonlinear Dynamics and Turbulence,",2.033[J],18.358[J]Reviews theoretical notions of nonlinear dynamics, instabilities, and waves with applications in fluid dynamics. Discusses hydrodynamic instabilities leading to flow destabilization and transition to turbulence. Focuses on physical turbulence and mixing from homogeneous isotropic turbulence. Also covers topics such as rotating and stratified flows as they arise in the environment, wave-turbulence, and point source turbulent flows. Laboratory activities integrate theoretical concepts covered in lectures and problem sets. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,1.060A ,3-2-7,L. Bourouiba,,,,,,
1.070A[J],Introduction to Hydrology and Water Resources,"; first half of termSame subject as12.320A[J]Ends Oct 18.sWater in the environment; Water resource systems; The hydrologic cycle at its role in the climate system; Surface water and energy balance; evaporation and transpiration through vegetation; Precipitation formation, infiltration, storm runoff, and flood processes; Groundwater aquifers, subsurface flow and the hydraulics of wells.No required or recommended textbooks",Undergraduate,Fall,,1.060A  ,2-0-4,D. Entekhabi,"TR10.30-12, 48-308",,,,"1.061A, 1.106",
1.070B[J],Introduction to Hydrology Modeling,"; second half of termSame subject as12.320B[J]Begins Oct 21.sDevelops understanding of numerical modeling of aquifers, groundwater flow and contaminant transport, as well as uncertainty and risk analysis for water resources.No required or recommended textbooks",Undergraduate,Fall,,1.070A ,2-0-4,D. Entekhabi,"TR10.30-12, 48-308",,,,,
1.071[J],Global Change Science,"Same subject as12.300[J]Introduces the basic principles and concepts in atmospheric physics, and climate dynamics, through an examination of: greenhouse gases emissions mainly CO2, global warming, and regional climate change. Case studies are presented for the regional impacts of climate change on extreme weather, water availability, and disease transmission. Introduction to regional and global environmental problems for students in basic sciences and engineering. Students taking graduate version complete additional assignments.",Undergraduate,Fall,,18.03 ,3-0-9,E. Eltahir,,,,,,
1.072,Groundwater Hydrology,"Presents the fundamentals of subsurface flow and transport, emphasizing the role of groundwater in the hydrologic cycle, the relation of groundwater flow to geologic structure, and the management of contaminated groundwater. Topics include Darcy equation, flow nets, mass conservation, the aquifer flow equation, heterogeneity and anisotropy, storage properties, regional circulation, unsaturated flow, recharge, stream-aquifer interaction, well hydraulics, flow through fractured rock, numerical models, groundwater quality, contaminant transport processes, dispersion, decay, and adsorption. Includes laboratory and computer demonstrations. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,1.061 ,3-1-8,C. Harvey,,,,,,
1.073,Introduction to Environmental Data Analysis,"Covers theory and practical methods for the analysis of univariate data sets. Topics include basics of statistical inference, analysis of trends and stationarity; Gaussian stochastic processes, covariance and correlation analysis, and introduction to spectral analysis. Students analyze data  collected from the civil, environment, and systems domains.",Undergraduate,Fall,,1.010 ,2-0-4,E. Eltahir,,,,,,
1.074,Multivariate Data Analysis,"sIntroduction to statistical multivariate analysis methods and their applications to analyze data and mathematical models. Topics include sampling, experimental design, regression analysis, specification testing, dimension reduction, categorical data analysis, classification and clustering.No required or recommended textbooks",Undergraduate,Fall,,"1.000, 1.010A ",2-0-4,S. Amin,"W9, 1-242",,"M3, 1-273",,,
1.075,Water Resource Systems,"Not offered regularly; consult departmentSurveys optimization and simulation methods for management of water resources. Case studies illustrate linear, quadratic, nonlinear programming and real-time control. Applications include river basin planning, irrigation and agriculture, reservoir operations, capacity expansion, assimilation of remote sensing data, and sustainable resource development. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,1.070B or permission of instructor ,3-0-9,D. McLaughlin,,,,,,
1.076,Carbon Management,"Introduces the carbon cycle and ""climate solutions."" Provides specialized knowledge to manage and offset carbon emissions for government entities and large corporations through nature-based solutions and technology. Students prepare a mini-project simulating the assessment of practices and technologies for removing carbon dioxide from the air for a specific organization, which prepares them to become professionals with the skills to help evaluate and manage carbon emissions. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,,3-2-7,C. Terrer,,,,,,
1.077,"Land, Water, Food, and Climate","Not offered regularly; consult departmentExamines land, water, food, and climate in a changing world, with an emphasis on key scientific questions about the connections between natural resources and food production. Students read and discuss papers on a range of topics, including water and land resources, climate change, demography, agroecology, biotechnology, trade, and food security. Supporting information used for background and context includes data and analysis based on government reports, textbooks, and longer peer-reviewed documents not included in the readings. Provides a broad perspective on one of the defining global issues of this century. Students carry out exercises with relevant data sets, write critiques of key issues, and complete a focused term project. Completion of MIT Science Core or equivalent recommended but not required. Students taking graduate version complete additional assignments.",Undergraduate,Fall,,,3-0-6,D. McLaughlin,,,,,,
1.080,Environmental Chemistry,"Introduction to environmental chemistry, focusing on the fate of chemicals in both natural and engineered systems. Covers equilibrium reactions e.g., partitioning, dissolution/precipitation, acid-base, redox, metal complexation, and kinetically-controlled reactions e.g., photolysis, free radical oxidation. Specific environmental topics covered include heavy metals in natural waters, drinking water, and soils; biogeochemical cycles; radioactivity in the environment; smog formation; greenhouse gases and climate change; and engineering for the prevention and remediation of pollution. Students taking the graduate version complete additional assignments.",Undergraduate,Spring,,Chemistry (GIR) ,3-0-9,J. Kroll,,,,,,
1.081[J],"Environmental Cancer Risks, Prevention, and Therapy","Same subject as20.104[J]Analysis of the history of cancer and vascular disease mortality rates in predominantly European- and African-American US cohorts, 1895-2016, to discover specific historical shifts. Explored in terms of contemporaneously changing environmental risk factors: air-, food- and water-borne chemicals; subclinical infections; diet and lifestyles. Special section on occupational risk factors. Considers the hypotheses that genetic and/or environmental factors affect metakaryotic stem cell mutation rates in fetuses and juveniles and/or their growth rates of preneoplastic in adults.",Undergraduate,Spring,,Biology (GIR)  Calculus II (GIR)  Chemistry (GIR) ,3-0-9,"W. Thilly, R. McCunney",,,,,,
1.082,Ethics for Engineers,",Engineering School-Wide Elective Subject.Offered under:1.082,2.900,6.9320,10.01,16.676,20.005URL:https://e4e.mit.edu/orT3-566-148orW3-566-148orW EVE 7-9 PM66-148sFall:Spring:No required or recommended textbooks",Undergraduate,Spring,,,2-0-4,"P. Hansen, L. Guarante, D. Lauffenburger, K. Hansen","M3-5, E17-517",,,,,
1.084[J],Applied Microbiology,"Not offered regularly; consult departmentSame subject as20.106[J]Introductory microbiology from a systems perspective - considers microbial diversity and the integration of data from a molecular, cellular, organismal, and ecological context to understand the interaction of microbial organisms with their environment. Special emphasis on specific viral, bacterial, and eukaryotic microorganisms and their interaction with animal hosts with focus on contemporary problems in areas such as vaccination, emerging disease, antimicrobial drug resistance, and toxicology.",Undergraduate,Fall,,Biology (GIR)  Chemistry (GIR) ,3-0-9,"J. Niles, K. Ribbeck",,,,,,
1.085[J],Air Pollution and Atmospheric Chemistry,"Not offered regularly; consult departmentSame subject as12.336[J]Provides a working knowledge of basic air quality issues, with emphasis on a multidisciplinary approach to investigating the sources and effects of pollution. Topics include emission sources; atmospheric chemistry and removal processes; meteorological phenomena and their impact on pollution transport at local to global scales; air pollution control technologies; health effects; and regulatory standards. Discusses regional and global issues, such as acid rain, ozone depletion and air quality connections to climate change. Students taking graduate version complete additional assignments. Recommended for upper-level undergraduate students.",Undergraduate,Fall,,18.03 ,3-0-9,C. Heald,,,,,,
