Course Number,Course Title,Description,Subject meets with,Prerequisites,Class Type (U/G),Semester,Credit Structure,Credit Info,Instructor,Same subject as,Years offered
1.133,M.Eng. Concepts of Engineering Practice (Revised Units)," This core requirement for the M.Eng. program is designed to teach students about the roles of today's professional engineer and expose them to team-building skills through lectures, team workshops and seminars. Topics include regulations, negotiations, risk analysis and risk management, information systems, ethics, managing public information, project evaluation, and project management. Draws on a relevant large-scale project to illustrate each component of the subject. Grading is based on both individual and team exercises along with oral and written presentations. See also 1.351, 1.691. 1.541, 1.56J, 1.571, 1.63, Engineering Systems, Economics, and Management 1.141J Strategic Analysis for",,Limited to Course 1 M.Eng.students,G,Fall,3-0-6,H-LEVEL Grad Credit,D. H. Marks,,
1.141J,"Strategic Analysis for Environmental Policy Planning, Design, and Implementation"," 22.822J, TPP.121J) 16.861 or TPP.21 or 11.200 or 11.205 Gives participants practical understanding of the procedures for successfully designing complex technical systems that must perform well in a social context. Student teams work with computer-based models to examine the effect of alternative strategies; then define the tradeoffs between energy use, environmental quality, and costs, so as to develop a policy which is consistent with the social, economic, political and historical context of the region. The example treated is the proposed policy of requiring the introduction of personal electric cars in the Los Angeles region, as a means of reducing pollution. 1.142 Civil Engineering Clinic",,1.146 or 2.192 or 3.56 or 13.62 or,G,Spring,3-0-6,H-LEVEL Grad Credit,R. D. Tabors,"3.563J, 6.688J, 11.385J,",
1.142,Civil Engineering Clinic," Designed to expose students to real-world civil engineering projects and potential employment opportunities. A list of clinic subjects encompassing structural, geotechnical, transportation, and construction engineering has been developed in consultation with private and public ""sponsors"" (local consulting and contracting firms, government agencies, etc.). Students select a project and work jointly with an individual from the sponsoring firms and an MIT faculty member. Requires comprehensive written report and oral presentation. 1.146 Engineering Systems Analysis",,Permission of instructor,U,Spring,1-10-1,,L. J. Gibson,,
1.146,Engineering Systems Analysis, Engineering School-Wide Elective Subject. Description given at end of this chapter in SWE section on page 562. 1.147 Design for Product Realization,,Permission of instructor,G,Fall,3-0-6,H-LEVEL Grad Credit,"R. de Neufville, J. P. Clark, F. Field",,
1.147,Design for Product Realization," Concerned with the process by which a concept for a product is formulated and transformed into an actual artifact. Focuses on the design and manufacture of large-scale complex engineered projects. Methodologies and tools of system engineering are introduced to develop models of the product and process, and analyze the relationships between critical design and production features. Topics include interaction matrices, program planning, systems modeling and analysis, control algorithms, axiomatic design principles, concurrent engineering processes, and computational design infrastructure. Core requirement for Information Technology M.Eng. program. 1.148J Economics of Project Evaluation",,Permission of instructor,G,Spring,3-0-6,H-LEVEL Grad Credit,"J. J. Connor, Jr.",,
1.148J,Economics of Project Evaluation," See description under subject 14.111J. See also 1.202, 1.203J, 1.207, 1.281, 1.283J, ing systems, see also 1.40-1.482. Engineering Risk Assessment and Probabilistic Analysis 1.151 Probability and Statistics in",,14.03,,,"1.70,",1.731. For management of engineer-,Consult P. Joskow.,14.11 1J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.151,Probability and Statistics in Engineering," Quantitative analysis of uncertainty in planning, design, construction, and operation of engineered facilities. Fundamentals of probability, random processes, statistics, and decision analysis. Random variables and vectors and their transformations, second-moment analysis. Bayesian analysis and risk-based decision. Point and interval estimation, hypothesis testing, simple and multiple linear regression. Poisson and Markov processes.",,,,,1.155,Engineering Risk-Benefit Analysis,D. Veneziano,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
1.155,Engineering Risk-Benefit Analysis," Engineering School-Wide Elective Subject. Description given at end of this chapter in SWE section on page 562. See also 1.203J, 1.711,1.732. 302 Chapter Vill Department of Civil and Environmental Engineering Course 1 Transportation 1.200 Methods for Transportation Systems",,18.02,G,Spring,3-0-6,H-LEVEL Grad Credit,"G. Apostolakis, A. W. Drake, A. P. Odoni",,
1.200,Methods for Transportation Systems Analysis," Provides the methodological foundation necessary for the analytical study of the components of transportation systems and the relationships between them. Focuses on the use of linear equation systems, optimization techniques, and stochastic and statistical models. Develops the mathematical prerequisites for many advanced subjects in transportation. 1.201 Transportation Systems",,,G,Fall,3-1-8,,C. Bamhart,,
1.201,Transportation Systems," introduces the fundamental elements and issues shaping passenger and freight transportation systems. Discusses the role of transportation systems in society and measures of system effectiveness on many dimensions, including economic, environmental, and political. Covers deterministic and stochastic models of system performance and the determinants of transportation travel demand. Analyzes transportation networks, including prediction of costs and service quality. Considers the design of transportation services and facilities for various modes and intermodal operations. Case studies are used to show the application of methods to different types of transportation systems. Institutional and policy issues are addressed. 1.202 Demand Modeling",,Permission of instructor,G,Fall,3-0-6,H-LEVEL Grad Credit,J. Sussman,,
1.202,Demand Modeling," Analysis and forecasting of demand for facilities and services. Emphasis on collection and analysis of survey data. Review elements of probability, sampling, and statistical methods. Includes alternative sample designs and data collection methods, matrix-entry estimation methods, linear regression analysis, discrete choice methods, estimation and testing of disaggregate and aggregate models, aggregate forecasting methods and simulation. Illustrated with applications from the fields of transportation, housing, telecommunications, and marketing. 1.203J Logistical and Transportation",,Permission of instructor,G,Spring,3-1-8,H-LEVEL Grad Credit,M. E. Ben-Akiva,,
1.203J,Logistical and Transportation Planning Methods," 15.073J, 16.76J) Quantitative techniques of operations research with emphasis on applications in transportation systems analysis (urban, air, ocean, highway, pickup and delivery systems) and in the planning and design of logistically oriented urban service systems (e.g., fire and police departments, emergency medical services, emergency repair services). Unified study of functions of random variables, geometrical probability, multi-server queuing theory, spatial location theory, network analysis and graph theory, and relevant methods of simulation. Computer exercises, discussion of implementation difficulties. 1.204 Computer Algorithms in",,"6.431, 15.075",G,Fall,3-0-9,H-LEVEL Grad Credit,"A. I. Barnett, R. C. Larson, A. R. Odoni","6.281J, 11.526J, 13.665J,",
1.204,Computer Algorithms in Transportation," tor Teaches techniques and tools for design, analysis, and implementation of efficient algorithms. An integrated view of algorithms, data structures, and computer architecture is emphasized. Algorithmic techniques studied include: greedy algorithms, divide-and-conquer, dynamic programming, probabilistic algorithms, network optimization based algorithms and graph traversal techniques. Advanced topics include: high-performance computing and real-time optimization. 1.205 Advanced Demand Modeling",,1.00 or 1.001 or permission of instruc-,G,Spring,3-0-9,H-LEVEL Grad Credit,I. Chabini,,
1.205,Advanced Demand Modeling," Theories and applications of behavior models. Includes: linear and nonlinear latent variable models, multidimensional probabilistic choice models, survey design, statistical estimation techniques with multiple data sources, model transferability, estimation and forecasting with very large choice sets, joint discrete and continuous models, dynamical models. Issues in model specification, including use of stated preference data, and analysis of complex choices. Term paper required. 1.206 Optimization of Transportation",,1.202 or 14.388,G,Fall,3-0-9,H-LEVEL Grad Credit,M. E. Ben-Akiva,,
1.206,Optimization of Transportation Systems," Explores a variety of optimization techniques for the solution of large-scale transportation problems. Models and solution methods, including decomposition and relaxation, are presented for a variety of problems faced by carriers and/or shippers. Students are required to complete a research project and to present their findings. Alternate years. 1.207 Models and Algorithms for",,Permission of instructor,,,3-0-6,H-LEVEL Grad Credit,C. Bamhart,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
1.207,Models and Algorithms for Transportation Networks (Revised Content)," Formulation, analysis, and solution of network problems. Topics include: network equilibrium analysis; static system optimum traffic assignment; time-dependent approaches for dynamic systems; stochastic systems; simulation approaches; network control; implementation of various solution methods to solve large-scale applications. /. Chabini 1.208J Transportation and Logistics Analysis Introduction to inventory theory. Analysis of tradeoffs between transportation and inventory cost. Routing and scheduling with inventory considerations. Distribution network design and carrier network design. Optimization of carrier networks with emphasis on truck and rail networks. Integration of carrier and shipper perspective in system models. International logistics issues. 1.209J Case Studies in Logistics and",,Permission of instructor,G,Spring,3-0-6,H-LEVEL Grad Credit,Y. Sheffi,15.770J,
1.209J,Case Studies in Logistics and Supply Chain Management," A combination of lectures and cases covering the strategic, management, and operating issues in contemporary logistics and integrated supply chain management. Includes: logistics strategy; supply chain restructuring and change management; and distribution, customer service, and inventory policy. Descriptions of Subjects 303 School of Engineering 1.212 An Introduction to Intelligent",,Permission of instructor,,,3-0-6,,Y. Sheffi,15.771J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
1.212,An Introduction to Intelligent Transportation Systems," Basic elements of intelligent transportation systems. Technological, systems, and institutional aspects of ITS considered, including system architecture, congestion pricing, public/private partnerships, network models, ITS as industrial policy, implementation case studies. Term project required. Alternate years. 1.231J Planning and Design of Airport",,Permission of Instructor,,,3-0-6,H-LEVEL Grad Credit,J. Sussman,,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
1.231J,Planning and Design of Airport Systems," Equal emphasis on current practice and advanced concepts. Airport location and planning with full consideration of economic, environmental, and other impacts. Demand prediction, determination of the capacity of the airfield, estimation of levels of congestion. Design of terminals. Role of airports in the aviation and transportation system. Airport access problems. Optimal configuration of air transport networks and implications for airport development. Economics of the airport. Financing and institutional aspects. Special attention to international practice and developments. Alternate years. 1.233J Seminar in Air Transportation",,Permission of instructor,,,3-0-6,H-LEVEL Grad Credit,"R. de Neufville, A. R. Odoni",16.781J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.233J,Seminar in Air Transportation Analysis and Planning," See description under subject 16.73J. 1.25J Technology, Policy, and",,,G,Fall,1-0-5,,"A. R. Odoni, P. P. Belobaba",16.73J,
1.25J,"Technology, Policy, and Sustainability in the Middle East", May not count toward HASS Requirement. See description under subject 17.559J. 1.251J Transportation and Government,,,,,3-0-9,,"N. Choucri, F. Moavenzadeh",17.559J,Acad Year 1996-97: U Spring Acad Year 1997-98: Not offered
1.251J,Transportation and Government - Public Policy and Politics," The reasons for government involvement in building transportation infrastructure, the organization and regulation of transportation services, and the safety and economic regulation of vehicles and the energy systems which fuel them. Reviews the historical, public policy, and political reasons for government involvement in transportation, and analyzes the current institutional mechanisms of government in air, water, rail, highway, auto, trucking, and transit systems. Issues include privatization, deregulation, federal program development, and intergovernmental conflicts. 1.252J Urban Transportation Planning",,,G,Spring,3-0-6,,"F. Salvucci, R. Gakenheimer",11.379J,
1.252J,Urban Transportation Planning, See description under subject 11.380J. 1.254J Infrastructure in Developing,,Permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,"R. A. Gakenheimer, F. Salvucci, T. Humphrey",11.380J,
1.254J,Infrastructure in Developing Countries, See description under subject 11.469J. 1.255J Political Economy and Technology,"11.469J, 11.104",,G,Fall,3-0-9,H-LEVEL Grad Credit,R. A. Gakenheimer,,
1.255J,Political Economy and Technology in the Middle East," See description under subject 17.558J. Gakenheimer 1.256J Technology, Policy, and",,,,,3-0-9,H-LEVEL Grad Credit,"N. Choucn, F. Moavenzadeh, P. S. Khoury, R.","17.558J, 21H.977J",Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
1.256J,"Technology, Policy, and Sustainability in the Middle East", See description under subject 17.560J. 1.258J Public Transportation Service and,,,,,3-0-9,H-LEVEL Grad Credit,"N. Choucri, F. Moavenzadeh, R. Gakenheimer",17.560J,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
1.258J,Public Transportation Service and Operations Planning," Evolution and role of urban public transportation modes, systems, and services, including bus and rail. Description of technological characteristics and their impacts on capacity, service quality, and cost. Current practice and new methods for performance monitoring, route design, vehicle and crew scheduling. Effect of pricing policy and service quality on ridership. Methods for estimating costs associated with proposed service changes. 1.259J Transit Management",,1.201 or permission of instructor,G,Spring,3-0-9,H-LEVEL Grad Credit,N. H. M. Wilson,11.381J,
1.259J,Transit Management," Management methods of relevance to public transportation systems. Topics: strategic planning management; labor relations; maintenance planning and administration; financial planning; marketing; and management information and decision support systems. Shows how these general management tasks are dealt with in the transit industry and presents alternative strategies. Identifies alternative arrangements for service provision, including different ways of involving the private sector in public transportation. 1.27 Studies in Transportation",,1.258J or permission of instructor,G,Fall,3-0-6,H-LEVEL Grad Credit,"N. H. M. Wilson, F. Salvucci",11.382J,
1.27,Studies in Transportation Engineering," Can be repeated for credit Individual advanced study of a topic in transportation systems, selected with the approval of the instructor. 1.271 Research Seminar in Transportation",,Permission of instructor,G,"Fall,",Units arranged,H-LEVEL Grad Credit,Information: N. H. M. Wilson.,,
1.271,Research Seminar in Transportation," Can be repeated for credit Discussion of current research at various stages of development, including problem definition, literature review, methodology, and evaluation of results. Intended for advanced doctoral students who have passed the general examination. 304 Chapter Vill Department of Civil and Environmental Engineering Course 1 1.281 Transportation Economics",,Permission of instructor,G,"Fall,",Units arranged,[P/D/F],N. H. M. Wilson,,
1.281,Transportation Economics," Introduction to the economic analysis of transportation markets: urban and intercity, passenger and freight, national and international. Utility theory and its application to transport demand. Production theory and the analysis of transport costs. Market structures and transport pricing. Externalities. Public goods. The role of government in regulating transport and providing infrastructure. 1.283J The Economics of Cities and",,14.01,G,Spring,3-0-6,H-LEVEL Grad Credit,Information: N. H. M. Wilson.,,
1.283J,The Economics of Cities and Regions," See description under subject 14.573J. 1.284J Regional Economic Theories,",,14.03 or 14.04,G,Fall,3-0-9,H-LEVEL Grad Credit,W. Wheaton,"14.573J, 11.41 0J",
1.284J,"Regional Economic Theories, Accounts, and Techniques", See description under subject 11.481J. 1.285J Regional Socioeconomic Impact,,"14.03, 14.04",G,Spring,3-0-9,H-LEVEL Grad Credit,K. R. Polenske,11.481 J,
1.285J,Regional Socioeconomic Impact Analyses and Modeling, See description under subject 11.482J. 1.286 Freight Transportation,,11.481J or permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,K. R. Polenske,11.482J,
1.286,Freight Transportation Management," Methods for analysis of freight systems, with emphasis on rail and motor carrier operations and management of carrier assets. Study of competitive transportation companies and the environment in which they operate. Market issues, organizational structure, information systems, and decisionmaking processes for fleet management, facility operations, maintenance, and operations/service planning. Case studies illustrate effects of regulation, technology, labor relations, and competition on carrier strategies. Alternate years. Geoenvironmental and Geotechnical Engineering 1.30 Introduction to Geotechnical",,"1.201, 1.03",,,3-0-9,H-LEVEL Grad Credit,C. D. Martland,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.30,Introduction to Geotechnical Engineering," Fundamentals of soil mechanics taught in context of three to four design exercises. Phase relationships; geostatic stresses: friction angles; Rankine and Coulomb earth pressures; effective stress; Darcy's law; heads; seepage force; flow nets; compression and swell of clays; consolidation and settlement; drained and undrained strength of simple clay; effective and total stress paths. Design exercises such as retaining walls with and without seepage, controlling settlements, and safe construction of embankments. 1.32 Introduction to Engineering Geology",,1.04,U,Fall,3-2-7,,P. J. Culligan-Hensley,,
1.32,Introduction to Engineering Geology," Basic principles of physical geology, emphasizing topics pertinent to environmental and civil engineering. Identification of minerals; igneous, metamorphic, and sedimentary rocks. Alluvial, glacial, eolian, lacustrine, marine, and colluvial sediments. Weathering. Faults and fractures. Air photos and geologic maps. Field trips. Term paper; can be used for Phase 2 of the Writing Requirement. 1.322 Soil Behavior",,,U,Spring,3-3-6,REST,H. H. Einstein,,
1.322,Soil Behavior," Detailed study of soil properties with emphasis on interpretation of field and laboratory test data and their use in soft-ground construction engineering. Includes: consolidation and secondary compression; basic strength principles; stress-strain strength behavior of clays, emphasizing effects of sample disturbance, anisotropy and strain rate; strength and compression of granular soils; engineering properties of compacted soils. Some knowledge of field and laboratory testing assumed; 1.37 desirable. Alternate years. 1.331 Soil Dynamics",,1.361,,,3-1-8,H-LEVEL Grad Credit,C. C. Ladd,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.331,Soil Dynamics," Stress-strain behavior during transient and repeated loadings, relation to wave velocity. Strength degradation and liquefaction. Analysis of foundations subjected to dynamic loadings; effect of soils upon seismic motions; earth dams and retaining walls during earthquakes; other selected applications. Alternate years. Staff 1.34 Waste Containment and Remediation Technology Focuses on the geotechnical aspects of hazardous waste management, with specific emphasis on the design of land-based waste containment structures and hazardous waste remediation. Introduction to hazardous waste; definition of hazardous waste, regulatory requirements, waste characteristics, geochemistry, and contaminant transport. The design and operation of waste containment structures; landfills, impoundments, and minewaste disposal. The characterization and remediation of contaminated sites: the superfund law, preliminary site assessment, site investigation techniques, and remediation technologies. Monitoring requirements. 1.351 Theoretical Soil Mechanics",,"1 .30, permission of instructor",G,Spring,3-0-9,H-LEVEL Grad Credit,P. J. Culligan-Hensley,,
1.351,Theoretical Soil Mechanics," Presentation of fundamental theories in soil mechanics: field equations of linear elasticity, solutions of boundary value problems. Introduction to finite element method. Steady and transient flow in porous media; applications in confined and unconfined seepage, one dimensional consolidation. Introduction to poro-elasticity. Yielding and failure of soils, plasticity theory and limit analyses; with examples for bearing capacity and slope stability. Cam Clay models and critical state theory of soil behavior. 1.361 Advanced Soil Mechanics",,1.361,,,3-0-9,H-LEVEL Grad Credit,A. J. Whittle,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.361,Advanced Soil Mechanics, Consideration of the following fundamentals of soil mechanics: the nature of soil; the effective stress principle; permeability and seepage; stress-strain-strength behavior of cohesionless and cohesive soil; lateral earth stresses; bearing capacity and slope stability; consolidation theory; settlement analyses. Core requirement for Geoenvironmental M.Eng. program. 1.364 Advanced Geotechnical Engineering,,1.30,G,Fall,3-0-9,H-LEVEL Grad Credit,C. C. Ladd,,
1.364,Advanced Geotechnical Engineering," Site characterization and geotechnical aspects of the design and construction of foundation systems. Topics include site investigation (with emphasis on in situ testing), shallow (footings and raftings) and deep (piles and caissons) foundations, excavation support systems, groundwater control, slope stability, soil improvement (compaction, soil reinforcement, etc.), and construction monitoring. Core requirement for Geoenvironmental M.Eng. program. Descriptions of Subjects 305 School of Engineering 1.366 Geotechnical Engineering",,"1.30, 1.361",G,Fall,3-0-9,H-LEVEL Grad Credit,A. J. Whittle,,
1.366,Geotechnical Engineering," Identification, presentation, and illustration of principles of soil mechanics. Considers the following topics: the nature of soil; the effective stress principle; permeability and seepage; stress-strain-strength behavior of soil; lateral earth stresses. Applies principles to stability and deformation problems. Restricted to graduate students not specializing in Geotechnical Engineering. Same lectures as for 1.361. 1.37 Geotechnical Measurements and",,1.30,G,Fall,3-0-6,H-LEVEL Grad Credit,C. C. Ladd,,
1.37,Geotechnical Measurements and Exploration," Application of testing principles to the measurement of fundamental aspects of soil behavior from classification to engineering properties. Emphasis on rigorous techniques to measure mechanical behavior under various boundary conditions. Exposure to error estimation, research devices, geotechnical field exploration, and in situ testing. Experiments include data analysis, evaluation, and presentation. 1.38 Engineering Geology",,1.30,G,Fall,3-4-2,H-LEVEL Grad Credit,J. T. Germaine,,
1.38,Engineering Geology," Effect of geologic features and processes on constructed facilities; interaction between manmade structures and human activities in general, and the geologic environment. Planning of subsurface exploration. Engineering geologic characterization of soil and rock, including joint surveys and aspects of sedimented and residual soils. Laboratory on basic geologic identification and mapping techniques. Extensive reading of case histories. Occasional field trips. 1.381 Rock Mechanics",,"1.30, 1.32, or permission of instructor",G,Fall,3-1-8,H-LEVEL Grad Credit,H. H. Einstein,,
1.381,Rock Mechanics," Introduces theoretical and experimental aspects of rock mechanics and on this basis prepares the student for rock engineering. Includes laboratory and field testing; empirical and analytical methods for describing strength, deformability, and permeability of intact rock and rock masses; fracture mechanics and mechanics of discontinua including flow through discontinua; design and analysis of rock slopes and foundations on rock; discussion of blasting design. Alternate years. 1.383 Underground Construction",,"1.38, 1.361",,,3-0-6,H-LEVEL Grad Credit,H. H. Einstein,,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
