Number,Title,Description,URL
CAS AA 287,Slavery and the In-Between,"Examines the space between freedom and enslavement known as recaptivity. Course discussions focus on conceptions of freedom and their relationship to recaptive status. Reviews recaptivity contexts in both the historical and archaeological record. Also examines the theme of return. Effective Fall 2024 fulfills a single unit in each of the following BU Hub areas: Critical Thinking, Digital/Multimedia Expression, Historical Consciousness.",/academics/cas/courses/cas-aa-287/
CAS AA 296,Religion and Hip Hop,"Uses digital media studies to explore diverse religious expressions in hip hop culture. Through critical reading, community field trips, and hands-on technology usage, students consider an often overlooked element in the study of hip hop culture: religion. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-aa-296/
CAS AA 297,African American Women's History,"Survey of African American women's history from the slave trade to the present, investigating its critical role in shaping the meaning of race, gender, and sexuality during slavery, Jim Crow, and the civil rights era. Also offered as CAS HI 297 and CAS WS 297. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Historical Consciousness, Social Inquiry I.",/academics/cas/courses/cas-aa-297/
CAS AA 304,Introduction to African American Women Writers,"Undergraduate Prerequisites: First-Year Writing Seminar (ex. WR 120) - This course studies the cultural contexts and the ongoing relevance of significant works by African American Women Writers. Works by Jacobs, Butler, Harper, Hurston, Brooks, Kincaid, Morrison and Marshall complemented by critical articles lay out this rich tradition. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-304/
CAS AA 305,Toni Morrison's American Times,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. First-Yea r Writing Seminar (WR 120 or equivalent). - Using historical and literary sources to make visible the interactions between the world of the novel and that of American history, the course examines how Morrison's Song of Solomon, Beloved, Jazz, and Love depict crucial times in American history. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-305/
CAS AA 308,Race and Politics,"Combining research from history, political science, sociology, and economics, this course examines the role of race and ethnicity in shaping American politics and policy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry II, Ethical Reasoning, Critical Thinking.",/academics/cas/courses/cas-aa-308/
CAS AA 310,Civil Rights History,"This course examines the U.S. Civil Rights and the struggle for black freedom movements. From the late nineteenth century through the twenty-first century, we consider events, organizations, ""leaders"" and organizers, legal campaigns, and political protests to answer the questions: What were the race, class, and gender dynamics within the movements? What were the changing definitions of freedom? The course treats the movement's roots, goals, ideologies, and cultures, and includes a comparison of the struggles for equal rights of Mexican Americans, Native Americans, LGBT folks, and other groups. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Historical Consciousness, Teamwork/Collaboration.",/academics/cas/courses/cas-aa-310/
CAS AA 311,African American Religious History,"This course offers a historical survey of religions practiced by people of African descent living in North America. Students explore the diverse terrain of African American religiosity, which includes Christianity, Judaism, Islam, Spiritualism, and African-derived religions.",/academics/cas/courses/cas-aa-311/
CAS AA 313,The Politics and Policy of HBO's The Wire,"HBO's television series The Wire is used to explore politics and policy. A number of interdisciplinary topics are covered, including the war on drugs, urban elections, bureaucracy, rational choice theory, and the decline of American cities. Also offered as CAS PO 313. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry II, Ethical Reasoning, Teamwork/Collaboration.",/academics/cas/courses/cas-aa-313/
CAS AA 319,Race and the Politics of Criminal Justice Policy,"How many people are affected by the criminal justice system? What is the relationship between crime and race? What criminal justice policies, if any, should change? In this course, students will grapple with these questions. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Social Inquiry I, Ethical Reasoning, Critical Thinking.",/academics/cas/courses/cas-aa-319/
CAS AA 335,"Sociology of Race, Class & Gender","Undergraduate Prerequisites: At least one prior 100- or 200-level sociology course, or CAS WS 101/1 02. - No one of us is one thing, one identity, nor motivated by one singular interest, nor privileged or subjugated by one singular form of power, but how do those multiple forms of ourselves affect how we are advantaged, disadvantaged, viewed, and understood by the social world? Our social world, is, by default, a vast web of social intersections between and across groups with shared, overlapping, and conflicting identities. Race, class and gender affect nearly all of our lived experiences and greatly complicate and nuance concepts of diversity and difference. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression , The Individual in Community, Historical Consciousness.",/academics/cas/courses/cas-aa-335/
CAS AA 348,Colonialism in Africa,Uses case studies of particular African societies or nations to examine patterns of European conquest and African resistance; forms of colonial administration and socioeconomic consequences of colonial rule; decolonization and contemporary African liberation movements; economic and political developments since independence; and contemporary social and cultural change.,/academics/cas/courses/cas-aa-348/
CAS AA 356,Religion in the Digital Age,"Undergraduate Prerequisites: First-Year Writing Seminar (CAS WR 120 or equivalent) - How has technology impacted religion? This hands-on course explores how digital technologies like the Internet, social media, gaming, and artificial intelligence have changed the way that people think about religion. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Writing-Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-aa-356/
CAS AA 363,Race and the Development of the American Economy: A Global Perspective,"Undergraduate Prerequisites: (CASEC101) or consent of instructor. - Surveys the economic history of African Americans within the context of the development of the American and global economies. Topics include the economics of slavery; race and industrialization; the Great Migration; anti- discrimination legislation; and the historical origins of contemporary racial inequalities. Also offered as CAS EC 363. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Social Inquiry II.",/academics/cas/courses/cas-aa-363/
CAS AA 371,Black Freedom Dreams: America and the World,"Surveys the history of African diaspora peoples in the Americas from their African origins and the rise of the Atlantic slave trade through the age of emancipations, investigating the varied meanings of race, resistance, migration, and freedom. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Historical Consciousness, Teamwork/Collaboration. Also offered as CAS HI 298.",/academics/cas/courses/cas-aa-371/
CAS AA 380,European Dimensions of the Black Diaspora,"Explores writings about the Black experience in Europe since the 1800s through examinations of historical and literary works, artistic and folkloric depictions, as well as politics and sports in England, France, Germany, Russia, and the Netherlands. Also offered as CAS HI 360.",/academics/cas/courses/cas-aa-380/
CAS AA 382,History of Religion in Pre-Colonial Africa,"The study of the development of religious traditions in Africa during the period prior to European colonialism. An emphasis on both indigenous religions and the growth and spread of Judaism, Christianity, and Islam in the continent as a whole. Also offered as CAS HI 349 and CAS RN 382. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness.",/academics/cas/courses/cas-aa-382/
CAS AA 383,African Diaspora Religions,"This course introduces students to religions of the African Diaspora, with a specific focus on the Caribbean and the Americas. Religious traditions such as Africanized Christianity, Cuban Santer¿a, Haitian Vodou, Brazilian Candombl¿ and African American Spiritualism will be explored. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Historical Consciousness, Research and Information Literacy.",/academics/cas/courses/cas-aa-383/
CAS AA 385,Atlantic History,"Examines the various interactions that shaped the Atlantic World, connecting Europe, Africa, and the Americas between 1400 and 1820. Begins by defining the political interaction, then emphasizes cultural exchange, religious conversion, and the revolutionary era.",/academics/cas/courses/cas-aa-385/
CAS AA 388,Transnational Black Radicalism from the 19th Century to the Present,"Explores black cultural and political movements and examines how they interacted in ways that establish ideas crucial to our contemporary moment through readings in literature and history, film and popular culture productions. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-aa-388/
CAS AA 396,Atlantic Africa and the Slave Trade,"Examines--both by region and across the larger Atlantic area--the ways that overseas commerce, in particular the slave trade, interacted with and was shaped by African politics and economic variables. Also offered as CAS HI 353.",/academics/cas/courses/cas-aa-396/
CAS AA 400,Topics in African American Studies,"Topics and pre-requisites vary. May be repeated for credit as topics vary. Topic for Spring 2024: Archaeology of the African Diaspora. This course explores material evidence in the study of the slave trade and its legacies. It emphasizes dialogues and community engagement, the stewardship of human remains, and reburial. Discussions will focus on methodology and theory in African Diaspora burial contexts.",/academics/cas/courses/cas-aa-400/
CAS AA 404,Seminar on Sociology of Families,"Undergraduate Prerequisites: junior or senior standing and at least two previous Sociology courses; or consent of instructor. First-Year Writing Seminar (WR 120 or equi valent) - Explores the rise of ""modern"" families and the plurality of contemporary family forms and processes in global contexts. Particular attention to intersections of race, class, and gender inequalities and their implications for family life. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Research and Information Literacy.",/academics/cas/courses/cas-aa-404/
CAS AA 408,"Seminar: Ethnic, Race, and Minority Relations","Undergraduate Prerequisites: (CASAA207 OR CASSO207) or consent of instructor. - Formation and position of ethnic minorities in the United States, including cross-group comparisons from England, Africa, and other parts of the world. Readings and field experience.",/academics/cas/courses/cas-aa-408/
CAS AA 416,"Religion, Race, and Climate Change","A multi-disciplinary course delving into the influence of religion and race on human behavior and non-human, planetary realities at local and global scales. It focuses on the historical, systemic, and societal implications associated with ongoing climate change debates. Effective Fall 2024 fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Social Inquiry I.",/academics/cas/courses/cas-aa-416/
CAS AA 430,Black American Cinema,"A survey of important genres and movements in the history of Black American cinema, with possible focus on race films, civil rights dramas, horror and Blaxploitation films, postcolonial cinema, the LA Rebellion school, Black independent film, afrofuturism, and/or more. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration.",/academics/cas/courses/cas-aa-430/
CAS AA 459,"Reparations, Restitution, Restorative Justice for Slavery and Jim Crow Segregation: The Debate","Drawing from a wide-range of interdisciplinary scholarship, this course examines the debate surrounding demands for reparations for slavery, Jim Crow Segregation, and institutionalized racism in the US. Also examines reparations in the comparative context of emerging national and international movements.",/academics/cas/courses/cas-aa-459/
CAS AA 477,Critical Studies: Black Diaspora Theory and Practice,"Explore ""diaspora"" as a keyword for black studies, intervene in the term's emergence, usage, and many theorizations. Beginning with Paul Gilroy's take on diasporic culture and consciousness, course goes on to complicate/extend/challenge through lens of black gender and sexuality studies. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-aa-477/
CAS AA 489,The African Diaspora in the Americas,"Undergraduate Prerequisites: consent of instructor. - History of peoples of African descent in the Americas after end of slavery from an international framework. Examines development of racial categories, emergence of national identities in wake of the wars of independence, diverse Black communities in the twentieth century. Also offered as CAS HI 489.",/academics/cas/courses/cas-aa-489/
CAS AA 490,Blacks and Asians: Encounters Through Time and Space,"This course comparatively explores how artists, writers, and activists of African descent and those of Asian descent have struggled against the political-economic, spiritual, psychological and cultural aggressions of global white supremacy and imagined and invented new modes of human liberation. Also offered as CAS HI 490.",/academics/cas/courses/cas-aa-490/
CAS AA 502,Topics in African American Literature,"Topic for Fall 2022: Tracking Changes in the Twentieth-Century African American Novel: Negotiations of Genre and Gender. Readings of Slave Narratives and Neo Slave Narratives, and the Urban Novel. Authors include Toni Morrison, Octavia Butler, Richard Wright, Ralph Ellison, and Walter Mosley.",/academics/cas/courses/cas-aa-502/
CAS AA 507,Literature of the Harlem Renaissance,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120). - An exploration of the literature of the ""New Negro Renaissance"" or, more popularly, the Harlem Renaissance, 1919-1935. Discussions of essays, fiction, and poetry, three special lectures on the stage, the music, and the visual arts of the Harlem Renaissance. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-aa-507/
CAS AA 514,"Labor, Sexuality, and Resistance in the Afro-Atlantic World","Undergraduate Prerequisites: junior standing. - The role of slavery in shaping the society and culture of the Afro-Atlantic world, highlighting the role of labor, the sexual economy of slave regimes, and the various strategies of resistance deployed by enslaved people. Also offered as CAS HI 584. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness.",/academics/cas/courses/cas-aa-514/
CAS AA 519,Inequality and American Politics,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - This course examines the role of income inequality in shaping American politics and policy. Combining research from history, political science, economics, and public policy scholars, we will consider a range of important topics, including inequality in public voice, money and politics, and attitudes towards redistribution. We will apply this knowledge as part of a final paper project in metropolitan Boston. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Writing- Intensive Course, Research and Information Literacy.",/academics/cas/courses/cas-aa-519/
CAS AA 571,Problems in African Diaspora Art History,"Introduces students to the field of African Diaspora Art History. Each week we look at a different “problem” of diaspora—beginnings, language, archives— giving students various entry points into the issues that shape the sub-field.",/academics/cas/courses/cas-aa-571/
CAS AA 574,"Introduction to Critical University Studies: Space, Place, and BU","This team-taught seminar uses the lens of ""critical university studies"" to consider the ways colonialism and white supremacy have shaped the history of American universities. Readings and archival research examine land appropriation, slavery and anti-slavery, segregation, and policing at Boston University. Effective Spring 2024, this course fulfills a single unit in each of the following BU HUB areas: Writing-Intensive, Historical Consciousness.",/academics/cas/courses/cas-aa-574/
CAS AA 580,"White Supremacist Thought: Self, Culture and Society since the 18th Century","Within a global and comparative context, this course explores the simultaneous, mutualistically symbiotic emergence and sustained codependent development of autonomous individuality and white supremacy in western Europe and the United States from the 18th century to the present day.",/academics/cas/courses/cas-aa-580/
CAS AA 588,"Women, Power, and Culture in Africa","Understanding the role of women in African history. Topics include the Atlantic slave trade, power, religion, the economy, resistance movements, health, the state, and kinship. Emphasis on the period before independence. Also offered as CAS HI 588.",/academics/cas/courses/cas-aa-588/
CAS AA 591,Black Thought: Literary and Cultural Criticism in the African Diaspora,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - An introduction to the cultural criticism of African-America and the Black Diaspora. This ranges from literary, theoretical and public conversations centered on race, and interrelated issues such as gender, sex, and migration. The course hones in on specific trends, themes, topics and characteristics of this work and assesses its relationship to historical and contemporary political and social contexts.",/academics/cas/courses/cas-aa-591/
CAS AA 616,"Religion, Race, and Climate Change","A multi-disciplinary course delving into the influence of religion and race on human behavior and non-human, planetary realities at local and global scales. It focuses on the historical, systemic, and societal implications associated with ongoing climate change debates. Effective Fall 2024 fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Social Inquiry I.",/academics/cas/courses/cas-aa-616/
CAS AA 630,Black American Cinema,"A survey of important genres and movements in the history of Black American cinema, with possible focus on race films, civil rights dramas, horror and Blaxploitation films, postcolonial cinema, the LA Rebellion school, Black independent film, afrofuturism, and/or more. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration.",/academics/cas/courses/cas-aa-630/
CAS AA 656,Religion in the Digital Age,"Undergraduate Prerequisites: First-Year Writing Seminar (e.g., WR120) - How has technology impacted religion? This hands-on course explores how digital technologies like the Internet, social media, gaming, and artificial intelligence have changed the way that people think about religion. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Writing-Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-aa-656/
CAS AA 677,Critical Studies: Black Diaspora Theory and Practice,"Explore ""diaspora"" as a keyword for black studies, intervene in the term's emergence, usage, and many theorizations. Beginning with Paul Gilroy's take on diasporic culture and consciousness, course goes on to complicate/extend/challenge through lens of black gender and sexuality studies. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-aa-677/
CAS AA 683,African Diaspora Religions,"This course introduces students to religions of the African Diaspora, with a specific focus on the Caribbean and the Americas. Religious traditions such as Africanized Christianity, Cuban Santer¿a, Haitian Vodou, Brazilian Candombl¿ and African American Spiritualism will be explored. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Historical Consciousness, Research and Information Literacy.",/academics/cas/courses/cas-aa-683/
CAS AA 740,"Science, Technology, Media: Race and Contemporary Criticism","Undergraduate Prerequisites: for GRS students only - This course focuses on racial engagements with science, technology and media. Topics range from genomics to artificial intelligence, medicine and popular culture. Though rooted in literary and cultural criticism, these interdisciplinary texts will also provide an introduction to various methodologies.",/academics/cas/courses/cas-aa-740/
CAS AA 804,Seminar: The Family,"Explores the rise of ""modern"" families and the plurality of contemporary family forms and processes including gay and lesbian families and new reproductive technologies. Particular attention to social and economic inequalities and their implications for family life. Also offered as GRS SO 804.",/academics/cas/courses/cas-aa-804/
CAS AA 808,"Seminar: Ethnic, Race, and Minority Relations","Formation and position of ethnic minorities in the United States, including cross-group comparisons from England, Africa, and other parts of the world. Readings and field experience. Also offered as GRS SO 808.",/academics/cas/courses/cas-aa-808/
CAS AA 871,Seminar in African American History,"Graduate seminar in African American history surveys shifts in historiography in the last 25 years in slavery studies, Black women's, Black youth history, Great Migration, the histories of racial justice and coalitional movements (CR, BP, BLM), and the recent turn in carceral studies.",/academics/cas/courses/cas-aa-871/
CAS AA 882,History of Religion in Pre-Colonial Africa,"Study of the development of religious traditions in Africa during the period prior to European colonialism. An emphasis both on indigenous religions and on the African roots and the growth and spread of Judaism, Christianity, and Islam in the continent as a whole. Also offered as GRS HI 749 and GRS RN 682.",/academics/cas/courses/cas-aa-882/
CAS AA 885,Atlantic History,"Examines the various interactions that shaped the Atlantic World, connecting Europe, Africa, and the Americas between 1400 and 1800. Begins by defining the political interaction, then emphasizes cultural exchange, religious conversion, and the revolutionary era. Also offered as GRS HI 750.",/academics/cas/courses/cas-aa-885/
CAS AA 981,CERT FT STUDY,CERT FT STUDY,/academics/cas/courses/cas-aa-981/
CAS AA 983,CONT STUDY PT,CONT STUDY PT,/academics/cas/courses/cas-aa-983/
CAS AA 985,CONT STUDY CFT,CONT STUDY CFT,/academics/cas/courses/cas-aa-985/
CAS AH 111,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,"A chronological examination of the fundamentals of art and architectural history, this course introduces students to major monuments and works of art from antiquity to the middle ages in their social, religious and historical contexts. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Creativity/Innovation.",/academics/cas/courses/cas-ah-111/
CAS AH 112,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,"Major monuments and artists in Europe and the United States from the Renaissance to Post-Modernism. Sequential development of major styles in architecture, sculpture, painting, and photography. Relationship of visual art to social and cultural forces. Effective Spring 2023, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration.",/academics/cas/courses/cas-ah-112/
CAS AH 113,Arts and Monuments of Asia,"An introduction to the art and architecture of Asia from the earliest times to the present. Course addresses not only important cultural monuments but also portable art objects within museum collections. Course examines a wide range of media, including ink painting, ceramics, textiles, photography, as well as major architectural projects, monuments, and built environments. It aims to challenge and rethink monolithic definitions of ""Asian art"" by allowing students to understand the complex and sophisticated processes of interregional and global cultural exchange. Effective Spring 2023, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Aesthetic Exploration.",/academics/cas/courses/cas-ah-113/
CAS AH 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America","This course introduces the arts of Africa and Latin America. It explores the rich diversity of each continent's artistic production and highlights the impact of their intertwining histories on visual expression in the wake of transcontinental exchange and globalization. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-ah-114/
CAS AH 201,Understanding Architecture,"Introduces a range of approaches to understanding architecture in an historical perspective. Learn how architects and others have interpreted meaning through rubrics of art, nature, and culture, focused upon European and American architecture from 1400 to the present. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Research and Information Literacy.",/academics/cas/courses/cas-ah-201/
CAS AH 210,Learning to See,"Strengthens your ability to describe and analyze the visual world. From fundamentals such as color and composition to the design of advertisements, propaganda, and appliances. A lab component provides opportunities for direct engagement with objects, images, and the built environment. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-ah-210/
CAS AH 215,Arts of Africa and Its Diaspora,"Exploration of a diversity of visual and performing arts from Africa, including royal regalia, masquerades, and contemporary painting. Examines how the dispersal of Africans, due to the transatlantic slave trade and immigration, contributed to the cultural richness of the Americas. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Carries humanities divisional credit in CAS.",/academics/cas/courses/cas-ah-215/
CAS AH 220,Islamic Art and Architecture,"Examines key monuments of Islamic art and architecture within their historical and cultural context, and emphasizes the diversity within the visual cultures of the Islamic world. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Research and Information Literacy.",/academics/cas/courses/cas-ah-220/
CAS AH 240,Medieval Art in Europe,"This course covers roughly one thousand years of art and architecture in Europe, Western Asia, and the Mediterranean from the Late Roman Era to the Renaissance. A broad range of media from stained glass to sculpture, gem encrusted metalwork, mosaics, ivories, manuscript illumination, lavish textiles, and other types of visual culture are examined. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-ah-240/
CAS AH 257,Renaissance Art,"Survey of the arts in the Renaissance in Italy from the communes of the early fifteenth century to the courts of the sixteenth century. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-ah-257/
CAS AH 284,Arts in America,"A survey of art and visual culture made in North America between the early colonial period and World War I, exploring the ways that painters, sculptors, photographers, and graphic artists navigated major aesthetic debates, political conflicts, and economic crises. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration.",/academics/cas/courses/cas-ah-284/
CAS AH 316,African Diaspora Arts in the Americas,"This course introduces arts of the African diaspora in the Caribbean, South America, and the United States by examining aesthetic, religious, and philosophical systems. Examines artistic forms including Santería altars, Haitian architecture, Caribbean masquerading, and contemporary African-American artists.",/academics/cas/courses/cas-ah-316/
